Date,TGMV
2024-06-22,50405879.65
2024-06-23,53778501.12
2024-06-24,61235583.96
2024-06-25,57406807.85
2024-06-26,61675536.83
2024-06-27,58679930.45
2024-06-28,58109500.33
2024-06-29,58970332.44
2024-06-30,60712609.75
2024-07-01,71088346.09
2024-07-02,71448013.31
2024-07-03,66204709.77
2024-07-04,62584613.44
2024-07-05,57537812.76
2024-07-06,55088329.03
2024-07-07,60337270.0
2024-07-08,66112712.84
2024-07-09,65362357.69
2024-07-10,64833002.42
2024-07-11,62912703.05
2024-07-12,58942247.36
2024-07-13,53045902.93
2024-07-14,56127355.07
2024-07-15,73561228.21
2024-07-16,79186737.5
2024-07-17,77828576.13
2024-07-18,72993367.05
2024-07-19,64834094.87
2024-07-20,57763996.24
2024-07-21,64736137.85
2024-07-22,68015853.74
2024-07-23,65864451.39
2024-07-24,61915119.57
2024-07-25,56529489.76
2024-07-26,52770116.68
2024-07-27,47134414.71
2024-07-28,50273055.61
2024-07-29,59023277.03
2024-07-30,63599311.14
2024-07-31,65156687.34
2024-08-01,65048119.22
2024-08-02,59836880.36
2024-08-03,52860527.4
2024-08-04,54864730.14
2024-08-05,64256976.82
2024-08-06,66997862.47
2024-08-07,68822351.25
2024-08-08,65171791.45
2024-08-09,60153266.61
2024-08-10,56065607.53
2024-08-11,59786540.16
2024-08-12,68900774.26
2024-08-13,71292216.42
2024-08-14,73960348.86
2024-08-15,74482604.64
2024-08-16,68526820.4
2024-08-17,62395958.7
2024-08-18,66732631.48
2024-08-19,74892009.13
2024-08-20,76288504.82
2024-08-21,74940624.44
2024-08-22,70121561.4
2024-08-23,65472870.03
2024-08-24,56778860.96
2024-08-25,56296598.96
2024-08-26,57446355.84
2024-08-27,57296987.67
2024-08-28,57257541.07
2024-08-29,56165389.53
2024-08-30,52808974.17
2024-08-31,51837334.43
2024-09-01,55969390.3
2024-09-02,59347148.91
2024-09-03,61404981.19
2024-09-04,61827020.78
2024-09-05,60477534.0
2024-09-06,56351296.47
2024-09-07,53821188.68
2024-09-08,57761050.84
2024-09-09,62054197.75
2024-09-10,62783821.38
2024-09-11,58243104.69
2024-09-12,55310714.93
2024-09-13,52168304.05
2024-09-14,48585806.61
2024-09-15,46230204.33
2024-09-16,53525796.5
2024-09-17,58540630.63
2024-09-18,57943263.94
2024-09-19,57389428.97
2024-09-20,50728297.19
2024-09-21,47357190.34
2024-09-22,52351460.89
2024-09-23,57837542.88
2024-09-24,57972940.64
2024-09-25,55665662.68
2024-09-26,51551349.78
2024-09-27,51439867.0
2024-09-28,49420379.39
2024-09-29,52807103.21
2024-09-30,56604398.21
2024-10-01,64679670.97
2024-10-02,62250496.29
2024-10-03,56859630.54
2024-10-04,54134916.62
2024-10-05,51327401.94
2024-10-06,56259201.21
2024-10-07,62913570.52
2024-10-08,63241582.97
2024-10-09,62199265.55
2024-10-10,59153795.86
2024-10-11,56448223.51
2024-10-12,55422521.19
2024-10-13,57511949.22
2024-10-14,67890032.73
2024-10-15,69412825.78
2024-10-16,70617144.5
2024-10-17,66238383.85
2024-10-18,60014685.78
2024-10-19,55061097.55
2024-10-20,61057670.92
2024-10-21,69163653.88
2024-10-22,67709237.07
2024-10-23,66384759.52
2024-10-24,61058636.61
2024-10-25,54938806.58
2024-10-26,50852147.91
2024-10-27,54037162.22
2024-10-28,59572708.26
2024-10-29,60409674.03
2024-10-30,57558069.29
2024-10-31,51752853.6
2024-11-01,52146658.63
2024-11-02,50051739.28
2024-11-03,54732114.65
2024-11-04,65170516.19
2024-11-05,66929228.87
2024-11-06,69244278.33
2024-11-07,65846585.89
2024-11-08,63900633.79
2024-11-09,58936524.17
2024-11-10,61687335.08
2024-11-11,71945993.67
2024-11-12,74203082.21
2024-11-13,77393442.92
2024-11-14,90471937.81
2024-11-15,189852951.1
2024-11-16,179731168.3
2024-11-17,181711089.2
2024-11-18,202250788.1
2024-11-19,107663173.9
2024-11-20,70895825.03
2024-11-21,65500999.76
2024-11-22,61699118.2
2024-11-23,60908545.28
2024-11-24,66454563.16
2024-11-25,78604098.5
2024-11-26,79687152.54
2024-11-27,82706411.55
2024-11-28,86732545.63
2024-11-29,117678206.5
2024-11-30,109545250.7
2024-12-01,110731439.9
2024-12-02,136574956.5
2024-12-03,116413355.6
2024-12-04,99601198.01
2024-12-05,98231685.38
2024-12-06,104497388.3
2024-12-07,104694222.3
2024-12-08,110121208.0
